,agreement,article_id,max_votes,sentence_order,votes
0,16.666666666666664,6,6,"(6, 100)",1
1,33.33333333333333,6,6,"(6, 101)",2
2,50.0,6,6,"(6, 102)",3
3,33.33333333333333,6,6,"(6, 103)",2
4,33.33333333333333,6,6,"(6, 104)",2
5,33.33333333333333,6,6,"(6, 105)",2
6,0.0,6,6,"(6, 106)",0
7,50.0,6,6,"(6, 200)",3
8,16.666666666666664,6,6,"(6, 201)",1
9,0.0,6,6,"(6, 202)",0
10,66.66666666666666,6,6,"(6, 203)",4
11,33.33333333333333,6,6,"(6, 204)",2
12,33.33333333333333,6,6,"(6, 205)",2
13,16.666666666666664,6,6,"(6, 206)",1
14,0.0,6,6,"(6, 207)",0
15,0.0,6,6,"(6, 300)",0
16,66.66666666666666,6,6,"(6, 400)",4
17,50.0,6,6,"(6, 401)",3
18,16.666666666666664,6,6,"(6, 402)",1
19,50.0,6,6,"(6, 403)",3
20,33.33333333333333,6,6,"(6, 404)",2
21,50.0,6,6,"(6, 405)",3
22,33.33333333333333,6,6,"(6, 406)",2
23,66.66666666666666,6,6,"(6, 407)",4
24,33.33333333333333,6,6,"(6, 408)",2
25,66.66666666666666,6,6,"(6, 409)",4
26,0.0,6,6,"(6, 410)",0
27,0.0,6,6,"(6, 500)",0
28,0.0,6,6,"(6, 600)",0
29,16.666666666666664,6,6,"(6, 700)",1
30,50.0,6,6,"(6, 701)",3
31,33.33333333333333,6,6,"(6, 702)",2
32,100.0,6,6,"(6, 703)",6
33,66.66666666666666,6,6,"(6, 704)",4
34,0.0,6,6,"(6, 705)",0
35,50.0,6,6,"(6, 800)",3
36,33.33333333333333,6,6,"(6, 801)",2
37,0.0,6,6,"(6, 802)",0
38,0.0,6,6,"(6, 803)",0
39,33.33333333333333,6,6,"(6, 900)",2
40,16.666666666666664,6,6,"(6, 901)",1
41,33.33333333333333,6,6,"(6, 902)",2
42,0.0,6,6,"(6, 903)",0
43,50.0,6,6,"(6, 1000)",3
44,16.666666666666664,6,6,"(6, 1001)",1
45,16.666666666666664,6,6,"(6, 1002)",1
46,16.666666666666664,6,6,"(6, 1003)",1
47,50.0,6,6,"(6, 1004)",3
